FileName,Next 1990,2012 Songbook,2017 Songbook,Tags,Quality,VC Choice,Notes,,,,,
Bold_Riley_(Oxford_Glee_2024-02).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Bold_Riley_(Clem_2024-10).mp3,,N,Y,,Fine,N,From OGVCC,,,,,
Bon_Soir_(Unknown).mp3,,N,N,,Fine,N,,,,,,
Bonny_At_Morn_(Sophie_2024-12).mp3,,N,N,,,Y,"IFASCO 2024"
Bonny_At_Morn_(Stores_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
Botany_Bay_(Jon_2025-02).mp3,,N,N,,,Y,"IFASCO 2024"
Bread_And_Roses.mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Bread_And_Roses_(Pam_and_Bea_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
Break_Em_On_Down.mp3,,N,Y,,Good,Y,,,,,,
Bright_Morning_Star_(Postcamps_2024-09).mp3,,N,N,,Fine,Y,From OGVCC,,,,,
Bring_Me_Little_Water_Sylvie_(01).mp3,,Y,Y,Parts,Fine,Y,,,,,,
Bring_Me_Little_Water_Sylvie_(Parts).mp3,,Y,Y,Parts,Fine,N,,,,,,
Bring_Us_in_Hot_Tea_(Not_Recorded_Yet).mp3,,N,Y,,,Y,"Delete me"
Broadside_To_Broadside_(Oxford_Glee_2025-01).mp3,,N,N,,,Y,"IFASCO 2024"
Broken_Rib.mp3,,N,N,,Fine,N,,,,,,
The_Burning_Of_Auchindoun_(Glee_Camp_2013-06).mp3,,N,Y,,Good,N,Beautiful Silly Sisters version,,,,,
The_Burning_Of_Auchindoun_(In_The_Crypt).mp3,,N,Y,,Fine,Y,,,,,,
By_The_Waters_Of_Babylon.mp3,Y,Y,Y,,Bin,N,Rerecord,,,,,
By_The_Waters_Of_Babylon_(02).mp3,Y,Y,Y,,Fine,Y,From OGVCC,,,,,
Byker_Hill_(Caving_2025-02).mp3,,N,N,,,Y,"Caving, Sophie"
The_Cocks_Are_Crowing.mp3,,N,N,,Good,Y,,,,,,
C_O_F_F_E_E.mp3,,N,N,,Fine,Y,,,,,,
Cakewalk_Blues.mp3,,N,N,,Fine,N,,,,,,
Calling_On.mp3,,N,Y,,Fine,Y,Renamed,,,,,
Campfires_Burning_(Oxford_Glee_2024-02).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Can_You_Get.mp3,,N,N,Pop,Bin,N,,,,,,
Captain_Don't_You_Know_Me_(Rushall_Glee_1997-10).mp3,,Y,Y,,Fine,Y,*,,,,,
Careless_Love_(Horton_Rd_Vol_2).mp3,,Y,Y,,Bin,N,Rerecord,,,,,
Careless_Love_(Oxford_Glee_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Chicken_On_A_Raft_(Rushall_Glee_1997-10).mp3,,Y,Y,,Fine,Y,,,,,,
Chickens.mp3,,Y,Y,,Good,Y,,,,,,
Children_Go_Where_I_Send_Thee.mp3,,Y,Y,,Fine,Y,Christmas song?,,,,,
Clementine_(Oxford_Glee_2024-04).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Cloud_Song_(Glee_Camp_2007-06).mp3,,N,N,,Fine,N,,,,,,
Cluck_Old_Hen.mp3,Y,N,N,,Fine,N,,,,,,
Cocaine_(Horton_Rd_Vol_1).mp3,,N,N,,Fine,Y,"John Martyn song - we like this, bring it to camp!",,,,,
Cockles_And_Mussels_(Oxford_Glee_2024-02).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Come_Follow_(Hodore_2024-07).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Come_from_the_Heart_(Not_Recorded_Yet).mp3,,N,Y,,,Y,"Delete me"
Come_Landlord_Fill_The_Flowing_Bowl_(Assington_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Come_To_The_Colours.mp3,,Y,Y,,Bin,N,Rerecord - Come to the Colours Johnny Come (yuk),,,,,
Come_To_The_Colours_Johnny.mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Country_Dancing_(01).mp3,,N,N,Instrumental,Fine,N,Maybe we want to keep these for instrumentalists to practice? BUT there's already a whole page for country dancing music,,,,,
Country_Dancing_(02).mp3,,N,N,Instrumental,Fine,N,-,,,,,
Country_Dancing_(03).mp3,,N,N,Instrumental,Fine,N,-,,,,,
Country_Dancing_(04).mp3,,N,N,Instrumental,Fine,N,-,,,,,
Country_Dancing_(05).mp3,,N,N,Instrumental,Fine,N,-,,,,,
Country_Dancing_(06).mp3,,N,N,Instrumental,Fine,N,-,,,,,
Country_Life_(Rushall_Glee_1997-10).mp3,,Y,Y,,Good,Y,Rename to I like to rise? ,,,,,
Crazy_Moose.mp3,,N,N,,Good,Y,As good as it could possibly be.,,,,,
Crow_on_the_Cradle_(Jon_2025-02).mp3,,N,N,,,Y,"IFASCO 2024"
Crossing_The_Bar_(2024-12).mp3,,N,N,,,N,"From Emily whatsapp"
The_Curtains_Of_Old_Joe's_House.mp3,Y,N,N,,Fine,Y,,,,,,
Cutty_Wren.mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Dark_As_A_Dungeon_(01).mp3,,Y,Y,,Fine,N,Weird version - missing words.,,,,,
Dark_As_A_Dungeon_(Horton_Rd_Vol_1).mp3,,Y,Y,,Bin,N,Talking at start,,,,,
Dark_As_A_Dungeon_(In_The_Crypt).mp3,,Y,Y,,Fine,Y,More traditional version,,,,,
Death_Came_Knocking_(Hodore_2024-07).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Deep_Blue_Sea_(Postcamps_2007-09).mp3,,Y,Y,,Bin,N,Rerecord - Talking in background,,,,,
Deep_Blue_Sea_(London_Glee_2024-02).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Deep_Down_In_My_Soul_(In_The_Crypt).mp3,,N,N,,Good,Y,,,,,,
Deportees_(Horton_Rd_Vol_2).mp3,,Y,Y,,Fine,Y,,,,,,
Derby_Ram.mp3,,N,N,,Fine,N,Normally known as Darby's Ram - the version we sing is the same as Bascom Lamar Lunsford who says the N-word but this recording replaces it with 'man'. Maybe this means we should delete?,,,,,
Diamonds_in_the_Rough_(Solo_Adam_P_2025-02-24).mp3,,N,N,,,Y,"IFASCO 2024"
Dido_Bendigo_(Not_Recorded_Yet).mp3,,N,Y,,,Y,"Delete me"
Dido_Fido.mp3,,N,N,,Fine,N,Not the version in the songbook - Rerecord,,,,,
Digger's_Song_[1648_version].mp3,Y,N,Y,With Guitar,Good,Y,,,,,,
Digger's_Song_[The_World_Turned_Upside_Down]_(Horton_Rd_Vol_1).mp3,Y,N,Y,With Guitar,Bin,N,,,,,,
Digger's_Song_[The_World_Turned_Upside_Down]_(03).mp3,Y,N,Y,,Good,Y,Songbook has The Digger's Song (World Turned Upside Down),,,,,
Digger's_Song_[The_World_Turned_Upside_Down]_(05).mp3,Y,N,Y,,Bin,N,Major chatting at the start,,,,,
Dirty_Old_Town_(Oxford_Glee_2024-04).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Doffing_Mistress_(Stores_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
Don't_Get_Married_Girls_(Not_Recorded_Yet).mp3,,N,Y,,,Y,"Delete me"
Don't_Let_It_Bother_You.mp3,,N,N,Pop,Fine,N,Not really a camp song?,,,,,
Don't_You_Hear_Jerusalem_Mourn.mp3,,N,N,,Fine,Y,,,,,,
Dona_Nobis_Parcem_(01).mp3,,N,N,,Fine,N,,,,,,
Dona_Nobis_Parcem_(02).mp3,,N,N,,Fine,N,,,,,,
Dona_Nobis_Parcem_(03).mp3,,N,N,,Fine,N,,,,,,
Dona_Nobis_Parcem_(04).mp3,,N,N,,Fine,N,,,,,,
Dona_Nobis_Parcem_(FFS).mp3,,N,N,,Good,Y,,,,,,
Donna_Donna_(Horton_Rd_Vol_1).mp3,,Y,Y,,Fine,N,"Rerecord - beginning is rubbish, people keep coming in wrong",,,,,
Donna_Donna_(Caitlin_2024-06).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Dousing_The_Campfire.mp3,,N,N,Atmospheric,Bin,N,Just someone pouring water over a fire,,,,,
Down_In_The_Valley.mp3,,Y,Y,Duet,Good,Y,Chords in songbook,,,,,
Down_Where_The_Drunkards_Roll_(Rushall_Glee_1997-10).mp3,,Y,Y,Solo (Adrian Matthews) + Harmony,Good,Y,,,,,,
Down_To_The_River_To_Pray_(Horton_Rd_Vol_1).mp3,,N,N,,Fine,Y,,,,,,
Drill_Ye_Tarriers_Drill_(Horton_Rd_Vol_2).mp3,,Y,Y,With Guitar,Good,Y,Chords in songbook,,,,,
Drill_Ye_Tarriers_Drill_(02).mp3,,Y,Y,With Guitar,Fine,N,,,,,,
Drill_Ye_Tarriers_Drill_(03).mp3,,Y,Y,With Guitar,Bin,N,,,,,,
Drill_Ye_Tarriers_Drill_(04).mp3,,Y,Y,With Guitar,Fine,N,,,,,,
Drunken_Sailor.mp3,,N,Y,,Fine,N,,,,,,
Drunken_Sailor_(Putney_Allstars).mp3,,N,Y,,Good,Y,,,,,,
"Early,_Early_In_The_Spring.mp3",,N,N,Solo,Good,Y,,,,,,
Earth_My_Body_(Rushall_Glee_1997-10).mp3,Y,Y,Y,Round,Good,Y,,,,,,
Eddystone_Light_(Assington_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Eenay_Weray_Weray_(Unknown).mp3,,N,N,,Fine,Y,,,,,,
Erie_Canal_(Rushall_Glee_1997-10).mp3,,Y,Y,,Good,Y,"Chords in songbook, file renmed",,,,,
Everything_Possible_(Not_Recorded_Yet).mp3,,N,N,,,Y,"IFASCO 2024"
Farewell_Johnny_Miner.mp3,,N,N,,Good,Y,,,,,,
Fathom_The_Bowl.mp3,,Y,Y,,Fine,N,Sounds far off,,,,,
Fathom_The_Bowl_(Colonial_Style).mp3,,Y,Y,With Guitar - Duet,Fine,N,Poshest voice ever,,,,,
Fathom_The_Bowl_(FFS).mp3,,Y,Y,,Fine,Y,,,,,,
Few_Days_(Hodore_2024-06).mp3,,N,N,,,Y,"IFASCO 2024 - Rose Music"
Fiddler's_Green.mp3,,Y,Y,,Fine,N,,,,,,
Fiddler's_Green_(FFS).mp3,,Y,Y,,Good,Y,,,,,,
Fiddler's_Green_(Solo).mp3,,Y,Y,Solo,Good,N,Really lovely but are we doing soloists?,,,,,
